year,dest_province,inflow,outflow,net_migration,dest_population,partners,inflow_per_1000,outflow_per_1000,net_per_1000,outflow_yoy_pct,inflow_yoy_pct,net_yoy_change,outflow_per_1000_yoy_pct,net_per_1000_change
2020,KOCAELİ,75093,52543,22550,1997258,80,37.59804692233051,26.30756767528281,11.290479247047703,-19.99543205177008,-9.501428106583754,5248.0,-21.76688171344351,2.4314470228428107
2021,KOCAELİ,83959,66332,17627,2033441,80,41.289125182387885,32.62056779616424,8.668557386223647,26.243267419066285,11.806693033971216,-4923.0,23.99689777026701,-2.621921860824056
2022,KOCAELİ,89685,62534,27151,2079072,80,43.137034215265274,30.077842422003663,13.05919179326161,-5.72574323101972,6.819995473981355,9524.0,-7.794853204423891,4.390634407037963
2023,KOCAELİ,92564,81219,11345,2102907,80,44.01716290829789,38.62225005670721,5.3949128515906795,29.87974541849234,3.210124324022967,-15806.0,28.407648111264862,-7.66427894167093
2024,KOCAELİ,80804,63593,17211,2130006,80,37.936043372647774,29.85578444379969,8.080258928848089,-21.701818539996797,-12.704723218529878,5866.0,-22.6979671045476,2.6853460772574094
2008,KONYA,45502,56760,-11258,1969868,80,23.099009679836417,28.814113432981294,-5.715103753144881,,,,,
2009,KONYA,46042,51006,-4964,1992675,80,23.105624349178868,25.59674808987918,-2.491123740700315,-10.13742071881607,1.1867610214935542,6294.0,-11.165935577318308,3.223980012444566
2010,KONYA,47901,56729,-8828,2013845,80,23.785842505257357,28.169496659375472,-4.383654154118117,11.22024859820414,4.037617827201245,-3864.0,10.051075865037484,-1.8925304134178025
2011,KONYA,52134,54533,-2399,2038555,80,25.573997267672443,26.750811236390483,-1.176813968718038,-3.87103597807118,8.836976263543562,6429.0,-5.0362469735958815,3.2068401854000794
2012,KONYA,51981,48313,3668,2052281,80,25.328402884400333,23.541123267232898,1.7872796171674348,-11.405937689105683,-0.2934745079986145,6067.0,-11.998469656842726,2.9640935858854727
